rank,regParam,maxIter,CV_1,CV_2,CV_3
10.0,0.01,10.0,1.3919652164660143,1.3879404177721486,1.3918449798114716
10.0,0.1,10.0,1.2005551916159969,1.198599671294557,1.1990347067157938
10.0,0.5,10.0,1.3028321183780551,1.302411572772725,1.3024137502372677
20.0,0.01,10.0,1.4464405504573505,1.4440596504839271,1.4460742655028953
20.0,0.1,10.0,1.1908007601322976,1.1904212710345263,1.1906466371299622
20.0,0.5,10.0,1.3030767173159803,1.3030047984891484,1.3028699715305505
50.0,0.01,10.0,1.4703894524079546,1.4687419406205213,1.4690318454894695
50.0,0.1,10.0,1.1788272702017264,1.1784343461809463,1.178296345763584
50.0,0.5,10.0,1.3030408923991381,1.3027950307141882,1.302863951562105
